Title,Text,Date,Media,Link
Election results recap: Trump clinches White House victory,"Former U.S. President Donald Trump speaks to the media after voting at a polling station setup in the Morton and Barbara Mandel Recreation Center on March 19, 2024, in Palm Beach, Florida.Florida has led the country in disenfranchising citizens with felony records. But Donald Trump, the only former president ever to be found guilty of criminal charges, should have no trouble casting his ballot in the Sunshine State.That's because Trump was convicted in New York.Under Florida law, an out-of-state felony conviction makes a person ineligible to vote only if they would also be ineligible in the state where they were found guilty.Trump on May 30 was convicted by a New York jury of 34 felony counts of falsifying business records related to a hush money scheme to pay porn star Stormy Daniels for her silence ahead of the 2016 election.
A New York law passed in 2021 allows for convicted felons to register to vote if they are not incarcerated. It also restores the voting rights of convicted felons upon their release from incarceration.On Sept. 6, Manhattan Supreme Court Judge Juan Merchan ruled that Trump will not be sentenced in the hush money case until Nov. 26 — three weeks after Election Day.
Trump traveled back to Florida on Tuesday, and he is expected to cast his ballot near his Mar-a-Lago home in West Palm Beach.
",Nov 6 2024,CNBC,https://www.cnbc.com/2024/11/05/presidential-election-2024-results-live-updates.html
Election eve 2024 recap: Joe Rogan endorses Trump after Musk interview; U.S. intel agencies warn Russia is ramping up election disinfo,"The final day of the 2024 presidential campaign has drawn to a close.Former President Donald Trump began his day at a rally in Raleigh, North Carolina, before attending another in Reading, Pennsylvania. He then headed to Pittsburgh and finished out the night in Grand Rapids, Michigan.Vice President Kamala Harris also visited Reading today, before heading to Allentown, Pennsylvania, and then Pittsburgh, in a barnstorm of the state that culminated in a massive rally and concert on the steps of the Philadelphia Art Museum.More than 77 million people have already voted in person early or by mail, according to NBC's early vote tracker.The first polling places will close Tuesday at 6 p.m. ET in parts of Kentucky and Indiana. For more state-by-state poll hours and voting information, click here.CNBC reporters are covering the election live from our headquarters in Englewood Cliffs, New Jersey, and our bureaus around the world.
",Nov 5 2024,CNBC,https://www.cnbc.com/2024/11/04/2024-presidential-election-live-updates-.html
Donald Trump defeats Kamala Harris to win 2024 presidential election,"Republican presidential nominee Donald Trump will defeat his Democratic rival, Kamala Harris, and return to the White House for another four years, NBC News projects. After losing his reelection bid to President Joe Biden in 2020, Trump, the 45th president, will now become the 47th. Trump's victory marks a series of historic firsts. At 78, he is the oldest person ever to win a U.S. presidential election. He will be the first president in 132 years — since Grover Cleveland — to serve two nonconsecutive terms in office. And he emerged victorious from what is likely the most expensive presidential race in history. He is also the first president, current or former, ever to be convicted of crimes. He is the first twice-impeached president ever to win back the White House. He is the first president ever to take office while fending off criminal charges in multiple active federal and state cases. Trump's win denies Harris, the vice president, what would have been her own historic milestone: becoming the first woman president of the United States.Democratic presidential candidate Vice President Kamala Harris speaks at a campaign event at the Erie Insurance Arena in Erie, Pennsylvania, on Oct. 14, 2024. Dustin Franz | Afp | Getty ImagesIt also represents a staggering political achievement for Trump's running mate, Sen. JD Vance of Ohio, who won his first election just two years earlier. Just 40 years old, Vance, a former Trump critic turned loyalist and top advocate for the president-elect's right-wing populist movement, is now first in the presidential line of succession. If Trump pursues his campaign promises, his second administration will soon set out to enact an ambitious, controversial agenda centered on deep tax cuts, mass deportations and reshaped relationships with foreign leaders. Trump has also vowed to impose heavy tariffs, claiming that they will simultaneously boost U.S. revenues, strengthen domestic industries and deter unwanted foreign competition. Mainstream economists have repeatedly warned that the tariffs, which are taxes paid by U.S. importers, will raise prices on American consumers. It remains to be seen to what extent Trump's presidential agenda will resemble the sum of his many claims as a candidate. He has vowed to pardon his supporters who violently rioted at the U.S. Capitol on Jan. 6, 2021. He has assured that he will quickly broker an end to Russia's invasion of Ukraine, a vague stance that threatens to undo the Biden administration's policy of strong support for Kyiv. He has said he would put Robert F. Kennedy Jr., a vocal vaccine skeptic, in charge of health policy, and tap billionaire Tesla CEO Elon Musk to propose trillions of dollars in government spending cuts. He has denied Democrats' warnings that he will behave in office like a dictator, ""except for Day One.""A campaign like no otherRepublican presidential candidate former President Donald Trump is surrounded by U.S. Secret Service agents at a campaign rally, Saturday, July 13, 2024, in Butler, Pa. Evan Vucci | APThe campaign that delivered Trump's election was no less historic. Trump survived an assassination attempt in mid-July, when Thomas Matthew Crooks, a 20-year-old registered Republican who had donated to a Democratic group, opened fire with an AR-15-style rifle during a campaign rally in Pennsylvania. Crooks fatally shot one rally attendee, and one of his bullets grazed Trump's ear, streaking his face with blood. Trump's immediate reaction to the shooting — pumping his fist and defiantly telling his supporters to ""fight!"" as Secret Service agents rushed him off stage — instantly became a defining moment of the campaign. Just a few days later, the race was shaken up again. In late July, Harris, 60, was catapulted to the top of the Democratic presidential ticket after Biden announced he would no longer seek reelection.",Nov 6 2024,CNBC,https://www.cnbc.com/2024/11/06/trump-wins-2024-election-for-president.html
"Presidential election is a dead heat though Trump leads Harris big on economy, says CNBC survey","With less than two weeks remaining before the election, the CNBC All-America Economic Survey shows the presidential contest remains a statistical dead heat both nationally and in the battleground states, unchanged from the August survey though there have been some notable movements among key groups.Nationally, former President Donald Trump holds a 48%-46% lead over Vice President Kamala Harris, within the poll's 3.1% margin of error and unchanged from August. In the seven battleground states, Trump leads 48% to 47%, within the 4% margin of error for that portion of the poll.The survey was conducted from Oct. 15-19 and had a total sample of 1,000 voters nationwide. The nationwide sample included 186 voters from the battleground states of Arizona, Georgia, Michigan, Nevada, North Carolina, Pennsylvania and Wisconsin. An additional 400 voters were interviewed in those states for a total sample of 586 from battleground states.Both nationally and in the battlegrounds, economic issues remain the most important concern for voters. Trump holds commanding leads among voters who prioritize inflation, the economy and addressing the needs of the middle class. By a 42% to 24% margin, voters say they will be better off financially if Trump wins, with 29% saying their financial position wouldn't change no matter who is elected. Voters who say inflation and the cost of living and the economy overall are the top issues favor Trump by 13 points. Inflation has remained the top issue throughout the election cycle.""Even as the data show inflation has theoretically been slowing down, it has become more important in people's minds over the course of the last three quarters, not less important,"" said Jay Campbell, partner at Hart Research, the Democratic pollster for the survey.The survey also showed Trump has a 35-point advantage among voters most concerned about immigration and a 19-point edge on the issue of crime and safety.Harris leads on a variety of second-tier issues, areas of high concern that rate below the economy. They include a 31-point Harris advantage among voters most concerned about abortion, 9 points on protecting democracy, 8 points on health care and 60 points on climate change.",Oct 24 2024,CNBC,https://www.cnbc.com/2024/10/24/presidential-election-is-a-dead-heat-though-trump-leads-harris-big-on-economy-says-cnbc-survey.html
Election 2024: Harris concedes to Trump; Dow sets new record high,"Former President Donald Trump won a decisive victory over Vice President Kamala Harris in the 2024 presidential election, sweeping the battleground state map by margins that surprised even Trump's closest allies.Markets overall posted sharp gains Wednesday, with the Dow rising more than 3% and closing at a new record high. Stocks that investors believed would benefit under a Trump administration soared, while solar stocks plunged.""We're going to help our country heal,"" Trump said late Tuesday night. ""We're going to fix everything about our country.""""America has given us an unprecedented and powerful mandate,"" he said, a reality underscored by NBC News' projection that Republicans won control of the Senate. The GOP was well positioned as of late Wednesday to keep its House majority, too, although NBC News had not called House control as of 7 p.m. ET.Harris phoned Trump on Wednesday to congratulate him on the win, then formally conceded the race and called on her supporters to mobilize and ""roll up your sleeves"" in a rousing speech at Howard University.",Nov 7 2024,CNBC,https://www.cnbc.com/2024/11/06/trump-live-updates-markets-and-world-leaders-react-to-americas-president-elect.html
"Harris says ‘we must accept' election results, commits to peaceful transfer of power","Kamala Harris told supporters ""we must accept the results of this election"" after she conceded defeat Wednesday to President-elect Donald Trump.""Earlier today, I spoke with President-elect Trump and congratulated him on his victory,"" Harris said at the vice president's alma mater Howard University, in Washington, D.C.It was the first time that Harris had spoken on camera to the public since Trump declared victory early Wednesday morning.""We will continue to wage this fight in the voting booth, in the courts and in the public square,"" she said.Harris was joined by her husband, Second Gentleman Doug Emhoff, along with her running mate, Minnesota Gov. Tim Walz, and other family members and campaign staff. Many members of the crowd were teary-eyed as the vice president delivered her remarks.""I know folks are feeling and experiencing a range of emotions right now,"" Harris said. ""I am so proud of the race we ran and the way we ran it.""
",Nov 6 2024,CNBC,https://www.cnbc.com/2024/11/06/harris-says-we-must-accept-the-results-of-this-election-commits-to-peaceful-transfer-of-power.html
"More than 46 million early voters already cast ballots as Harris, Trump enter final sprint","Local residents line up to enter a polling site on the first day of early in-person voting in a region still severely impacted by the storm, in Asheville, North Carolina, on Oct. 17, 2024.More than 46 million Americans have cast their ballots in the 2024 election as of Tuesday morning, according to NBC News' tracker, accounting for over a quarter of the anticipated electorate.Both nominees, Vice President Kamala Harris and former President Donald Trump, have encouraged voters to get to the ballot box as soon as they can.With one week until the Nov. 5 election, early voting is underway in all seven battleground states, along with dozens of others. Reports of hourslong lines outside polling places have already sprouted up on social media, as voters flood the limited number of municipal spaces set up to accommodate early voting.While millions of Americans have stood in line to cast ballots in person, another 20 million have mailed in their ballots. The 46.5 million early votes are almost evenly split between ballots cast in person and by mail, according to the University of Florida's Election Lab.Some states, such as the key presidential battlegrounds of North Carolina and Georgia, have reported that their early voter turnout is setting records this election cycle.In North Carolina, 353,166 ballots were accepted on the first day of early voting on Oct. 17, beating the 2020 first-day record, according to preliminary State Board of Elections data. As of Tuesday, more than 2.7 million votes had been cast across the state, according to NBC News.
",Oct 29 2024,CNBC,https://www.cnbc.com/2024/10/29/harris-trump-early-voters-ballots-2024-election.html
"Harris leads Trump by 20 points with younger Americans, new CNBC/Generation Lab survey finds","Democratic presidential nominee and U.S. Vice President Kamala Harris speaks during a campaign event in Washington Crossing, Pennsylvania, U.S., October 16, 2024.Exactly two weeks before Election Day, a new CNBC/Generation Lab survey finds that Vice President Kamala Harris has grown her advantage in recent months over Republican Donald Trump among Americans between the ages of 18 and 34.The latest quarterly Youth & Money Survey shows Harris with a 20 percentage point lead over the former president, with 60% of respondents saying they would vote for Harris in a head-to-head matchup, and 40% saying they would cast a ballot for Trump.Faced with a similar question in July's Youth & Money Survey, only 46% of respondents selected Harris, while 34% said they would be voting for Trump. Another 21% in that poll said they would vote for then-candidate Robert F. Kennedy Jr. or another third-party option.Kennedy formally dropped his bid for president on Aug. 23, and respondents in the latest poll were not offered a third option.Harris' 20 point lead over Trump in the latest poll is in line with the margin by which President Joe Biden ultimately won younger voters in his 2020 presidential election victory. Facing an incumbent Trump, Biden won voters age 18 to 39 years old by roughly 20 points, according to Pew Research Center data.The latest poll results also hint at an enthusiasm gap among young voters, which Harris and her running mate, Minnesota Gov. Tim Walz, are working hard to close.When pollsters asked the question, ""How do you feel about the slate of Presidential candidates,"" a sizable 38% of the respondents chose, ""I am disappointed."" Another 41% of the survey sample reported ""I am neutral."" Only one-fifth of those polled chose the third option, ""I am excited,"" to describe their feelings about the Harris-Trump matchup.
",Oct 22 2024,CNBC,https://www.cnbc.com/2024/10/22/harris-trump-young-voters-cnbc-generation-lab-election.html
Why it would be difficult for Trump to reverse the 2024 election results,"Republican presidential nominee, former U.S. President Donald Trump looks on during a roundtable with faith leaders at Christ Chapel on October 23, 2024 in Zebulon, Georgia.
Donald Trump has ramped up his baseless accusations that Democrats are plotting to ""cheat"" or ""steal"" the election, raising fears that the former president is setting the stage for an attempt to overturn the result if Vice President Kamala Harris wins.But any effort to derail the electoral process would run up against an array of new guardrails this time around, legal experts say, making it unlikely that any such attempt would succeed. The new protections include: an electoral law Congress passed in the wake of the Jan. 6 insurrection, recent court rulings, more vigilance from state election officials and more aggressive law enforcement by agencies determined to avoid a repeat of violent scenes from the U.S. Capitol four years ago.""It's very hard this time,"" said law professor Richard Hasen, an election expert at UCLA.In 2020, Trump issued similar warnings before the vote. When he lost to Joe Biden, he lobbied officials in swing states to overturn the result, filed a flurry of lawsuits claiming fraud and demanded his vice president, Mike Pence, refuse to certify the result.But state officials resisted his pressure, judges tossed out his team's lawsuits, and Pence defied Trump and carried out his constitutional duty to affirm the result of the vote.Unlike in 2020, Trump is no longer the president and does not have the power of the executive branch at his disposal. And the bipartisan Electoral Count Reform Act, passed in 2022, tightened the process to cast and count electoral votes, gave federal courts a clear role to quickly resolve disputes and made it more difficult for lawmakers to raise frivolous objections.Some attempts by pro-Trump groups to alter how votes are counted and certified have already failed, with judges rejecting the measures as illegal and unconstitutional. Last week, Georgia's Supreme Court rejected an effort by pro-Trump Republicans to introduce new election laws in the state, including one that would have required hand-counting of ballots and others that would have delayed the certification process.If Trump sought to challenge the election results, he would have two potential paths to try to overturn the results, and both routes are ""long shots,"" said Hasen, director of the Safeguarding Democracy Project at UCLA Law School.One would be to try to delay certifying the results in certain counties or states by alleging irregularities or making other claims. Dozens of state and local election officials are now in office in swing states who have openly rejected the 2020 results, raising the possibility that they could refuse to certify the vote count or cause other delays.
But such efforts would most likely fizzle out, legal experts said. State secretaries of state and attorney generals in key states like Pennsylvania and Arizona have vowed to take local governments to court if they try to delay the process.""You may still have some people trying to engage in these shenanigans,"" said Gowri Ramachandran of the Elections and Government Program at the Brennan Center for Justice at New York University School of Law. ""But I think, ultimately, a combination of the state election officials, the attorney generals, who often represent them in court, and the courts themselves are going to tell people to just do their jobs and certify the correct results.""Last month, top officials in three swing states — Pennsylvania, Arizona and Wisconsin — said they are ready to take local government authorities to court if they refuse to certify the results.""We would immediately take them to court to compel them to certify, and we're confident — because of how clear the election law is in Pennsylvania — that the courts would expeditiously require the counties to certify their election results,"" Pennsylvania Secretary of State Al Schmidt said.
",Oct 29 2024,CNBC,https://www.cnbc.com/2024/10/29/why-it-would-be-difficult-for-trump-to-reverse-the-2024-election-results.html
Trump takes a rare break from social media after election win,"Republican presidential nominee, former U.S. President Donald Trump arrives to speak with former first lady Melania Trump during an election night event at the Palm Beach Convention Center on November 06, 2024 in West Palm Beach, Florida.Donald Trump has never been shy about touting his accomplishments. Yet after achieving what is arguably the greatest political feat of his career, the new president-elect has so far been silent on the social media platforms where he is normally a ubiquitous presence.As of Thursday afternoon, Trump had not posted on Truth Social, the platform operated by his social media company Trump Media , since before all polls closed on Election Day. Nor has he trumpeted his victory on X, the social media site owned by his top campaign backer Elon Musk.Trump's official Facebook , Instagram and TikTok accounts also have not been updated since Tuesday. The most recent posts on all three are video messages of Trump urging Republican voters to stay in line at their polling sites.It is unclear if Trump's online absence is a deliberate messaging choice, or if he is merely taking a break from social media after a campaign during which he posted prolifically.Asked for clarity, Trump campaign spokesman Steven Cheung said only, ""President Trump won a historic election and will now become the 47th President of the United States.""",Nov 7 2024,CNBC,https://www.cnbc.com/2024/11/07/trump-x-truth-social-djt-election.html
